AUB.AX,Austbrokers Holdings Limited,ASX,Accident & Health Insurance
GLRE,"Greenlight Capital Re, Ltd.",NMS,Accident & Health Insurance
SFG,StanCorp Financial Group Inc.,NYQ,Accident & Health Insurance
AMIC,American Independence Corp.,NGM,Accident & Health Insurance
GTS,Triple-S Management Corporation,NYQ,Accident & Health Insurance
LRE.L,Lancashire Holdings Limited,LSE,Accident & Health Insurance
EIG,"Employers Holdings, Inc.",NYQ,Accident & Health Insurance
AIZ,Assurant Inc.,NYQ,Accident & Health Insurance
NHF.AX,NIB Holdings Limited,ASX,Accident & Health Insurance
PRA,ProAssurance Corporation,NYQ,Accident & Health Insurance
TRUP,"Trupanion, Inc.",NYQ,Accident & Health Insurance
AFL,AFLAC Inc.,NYQ,Accident & Health Insurance
MIC.TO,Genworth MI Canada Inc.,TOR,Accident & Health Insurance
CNO,"CNO Financial Group, Inc.",NYQ,Accident & Health Insurance
UNM,Unum Group,NYQ,Accident & Health Insurance
FAC,First Acceptance Corp.,NYQ,Accident & Health Insurance
SCRI,"Social Reality, Inc.",PNK,Advertising Agencies
DCS.MU,JC DECAUX,MUN,Advertising Agencies
XM8.F,CLEAR MEDIA,FRA,Advertising Agencies
XBTC,Xhibit Corp.,PNK,Advertising Agencies
VISN,VisionChina Media Inc.,NMS,Advertising Agencies
QXQ.AX,Q Limited,ASX,Advertising Agencies
VEND,"Fresh Healthy Vending International, Inc.",OBB,Advertising Agencies
DNAX,"DNA Brands, Inc.",PNK,Advertising Agencies
IPG,"The Interpublic Group of Companies, Inc.",NYQ,Advertising Agencies
YUME,"YuMe, Inc.",NYQ,Advertising Agencies
PUB.PA,Publicis Groupe SA,PAR,Advertising Agencies
MSHF,"MediaShift, Inc.",PNK,Advertising Agencies
SAX.BE,STROEER MEDIA,BER,Advertising Agencies
TRS.L,Tarsus Group plc,LSE,Advertising Agencies
IDI,"Tiger Media, Inc.",ASE,Advertising Agencies
CL2.SG,CYBERAGENT,STU,Advertising Agencies
XM8.SG,CLEAR MEDIA,STU,Advertising Agencies
0205.HK,SEEC MEDIA,HKG,Advertising Agencies
DEN.DU,DENTSU,DUS,Advertising Agencies
RVUE,"rVue Holdings, Inc.",PNK,Advertising Agencies
PHRM.L,Phorm Corporation Limited,LSE,Advertising Agencies
RLOC,"ReachLocal, Inc.",NMS,Advertising Agencies
DCS.SG,JC DECAUX,STU,Advertising Agencies
OMC,Omnicom Group Inc.,NYQ,Advertising Agencies
DEC.PA,JCDecaux SA,PAR,Advertising Agencies
CNET,"ChinaNet Online Holdings, Inc.",NCM,Advertising Agencies
FUEL,Rocket Fuel Inc.,NMS,Advertising Agencies
NMED,"New Media Insight Group, Inc.",PNK,Advertising Agencies
SZMK,Sizmek Inc.,NMS,Advertising Agencies
SPN.V,Snipp Interactive Inc.,VAN,Advertising Agencies
KITM,Kitara Media Corp.,OBB,Advertising Agencies
WPP.L,WPP plc,LSE,Advertising Agencies
Y07.SI,Global Yellow Pages Limited,SES,Advertising Agencies
ZCNV.PA,Zodiac Aerospace,PAR,Aerospace/Defense - Major Diversified
NOC,Northrop Grumman Corporation,NYQ,Aerospace/Defense - Major Diversified
MTX.DE,MTU Aero Engines AG,GER,Aerospace/Defense - Major Diversified
RTN1.SG,RAYTHEON,STU,Aerospace/Defense - Major Diversified
EAD.DE,Airbus Group N.V.,GER,Aerospace/Defense - Major Diversified
QY6.SG,QINETIQ GROUP,STU,Aerospace/Defense - Major Diversified
NTH.BE,NORTHROP GRUMMAN,BER,Aerospace/Defense - Major Diversified
EAD.PA,Airbus Group N.V.,,Aerospace/Defense - Major Diversified
SWS.SG,SMITH & WESSON HLDG,STU,Aerospace/Defense - Major Diversified
EOS.AX,Electro Optic Systems Holdings Limited,ASX,Aerospace/Defense - Major Diversified
MAL.TO,Magellan Aerospace Corp.,TOR,Aerospace/Defense - Major Diversified
BA.L,BAE Systems plc,LSE,Aerospace/Defense - Major Diversified
RR.L,Rolls Royce Holdings plc,LSE,Aerospace/Defense - Major Diversified
UEH.F,ULTRA ELEC HLDGS,FRA,Aerospace/Defense - Major Diversified
NTH.DU,NORTHROP GRUMMAN,DUS,Aerospace/Defense - Major Diversified
MTX.F,MTU AERO ENGINES N,FRA,Aerospace/Defense - Major Diversified
ZC.PA,Zodiac Aerospace,PAR,Aerospace/Defense - Major Diversified
